prophet_weight,xgb_weight,mape,rmse
0.0,1.0,5.2076039654819155,26118.728527097814
0.1,0.9,4.768312012707413,23926.54244424897
0.2,0.8,4.3290149055634055,21744.567655653147
0.3,0.7,3.889724210027922,19576.290884610826
0.4,0.6,3.4504275984290866,17426.754681416664
0.5,0.5,3.0111357393818534,15303.912919728558
0.6,0.4,2.614731987818265,13220.592880476604
0.7,0.3,2.2715599132834607,11198.895201475041
0.8,0.2,1.9283882978125646,9279.17637933945
0.9,0.1,1.5852164528097217,7539.738802311068
1.0,0.0,1.2420446078068748,6135.869405785399
