prophet_weight,xgb_weight,mape,rmse
0.0,1.0,2.604165998115224,14412.0247081044
0.1,0.9,2.381847683384829,13020.068439262452
0.2,0.8,2.230699829696672,11694.853534478301
0.3,0.7,2.079552257400957,10461.796257563745
0.4,0.6,1.9284053153825882,9357.385166407756
0.5,0.5,1.7772580382630039,8432.330302893954
0.6,0.4,1.626110364651138,7751.102747896105
0.7,0.3,1.4749631074940963,7381.529881627011
0.8,0.2,1.325453757759904,7370.6375045205605
0.9,0.1,1.418930292070711,7719.946596774716
1.0,0.0,1.5543907191104678,8384.557514196404
